close_date,order_number,driver_company,drop_status,otd,type_strike
2023-01-04,108910946_105233597957524,RK TRANSPORTES,COMPLETED,true,Faltantes
2023-01-10,19661786_100450456171523,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-01-30,43313933_41982452670180,TRANSOASIS,COMPLETED,false,Faltantes
2023-01-18,41500832_26253284605269,RK TRANSPORTES,COMPLETED,true,Faltantes
2023-03-04,112438898_35081775427308,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-03-09,44477120_53465834583734,Neowise Logística LTDA,COMPLETED,false,Faltantes
2023-05-20,34172886_67012051280429,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-01-11,247338095_12989925734413,RK TRANSPORTES,COMPLETED,true,Faltantes
2023-02-22,22976121_131583247293792,NOLI,COMPLETED,true,Faltantes
2023-01-04,283233913_3180541730549,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-01-05,66377384_27916402618412,NOLI,COMPLETED,true,Faltantes
2023-01-07,48272066_11576231075497,RK TRANSPORTES,COMPLETED,true,Faltantes
2023-01-03,195058498_25626033390554,FSP AGILOG TRANSPORTES,COMPLETED,true,Faltantes
2023-01-20,138543473_42875704435087,RK TRANSPORTES,COMPLETED,true,Faltantes
2023-01-17,50639330_207163032824540,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-03-18,285836895_118955014350367,No Value,COMPLETED,true,Faltantes
2023-02-28,120578718_37541772347314,AGILOG TRANSPORTES,COMPLETED,false,Faltantes
2023-01-11,183627336_56905537127444,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-01-23,23500913_16390265876740,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-02-14,222553079_27592626318661,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-02-04,291328384_20784044770934,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-04-18,133916619_235150052150324,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-01-19,109339645_66643897987617,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-05-19,22976121_140465619738534,NOLI,COMPLETED,true,Faltantes
2023-05-16,60192371_365886452343786,NOLI,COMPLETED,true,Faltantes
2022-12-21,169344366_82666236893911,Neowise Logística LTDA,CANCELLED,false,Cancelación
2023-04-05,52245748_92518301779661,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-05-06,342652721_104271463359331,INDEPENDIENTES,CANCELLED,false,Faltantes
2023-05-30,144271594_9153364614787,NOLI,CANCELLED,false,Faltantes
2023-06-03,69090198_99673083148385,TRANSOASIS,COMPLETED,true,Faltantes
2023-06-23,35652291_65732703240920,NOLI,COMPLETED,true,Faltantes
2022-12-22,158993350_14111374580428,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-02-02,73951058_115446825552324,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-03-27,19657244_201496360427402,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-04-26,51758795_28917152246097,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-04-11,44369981_129530113642759,No Value,COMPLETED,true,Faltantes
2023-01-11,81326615_39292142725339,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-01-24,24156204_18329776459255,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-02-28,193378483_125138683012673,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-02-28,35026361_280289083958902,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-06-12,41500832_125957828796212,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-02-14,24181042_42057704132771,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-01-10,31000651_6404697508041,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-06-20,128422386_130851678388346,GUILHERME TRANSPORTES,COMPLETED,true,Faltantes
2023-03-30,174286285_304715175506156,TRANSOASIS,CANCELLED,true,Faltantes
2023-04-13,273264705_145488553351926,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-01-31,31507865_26173533989769,NOLI,COMPLETED,true,Faltantes
2023-05-17,46005611_45552227353644,INDEPENDIENTES,COMPLETED,true,Faltantes
2022-12-23,21567885_86350236399857,INDEPENDIENTES,CANCELLED,false,Cancelación
2023-06-16,52245748_3551710445849,TRANSOASIS,COMPLETED,true,Faltantes
2022-12-31,86326436_138986733876376,Neowise Logística LTDA,CANCELLED,false,Cancelación
2022-12-24,196656330_28302020122699,INDEPENDIENTES,CANCELLED,false,Cancelación
2023-04-13,107302387_143879591795291,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-04-04,149661711_71602403446620,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-05-30,310602392_18986064774475,TRANSOASIS,COMPLETED,true,Faltantes
2023-03-10,51762607_26394339275429,RK TRANSPORTES,COMPLETED,true,Faltantes
2023-03-23,45526838_116709420564914,GUILHERME TRANSPORTES,COMPLETED,true,Faltantes
2023-05-08,37203559_94627869896678,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-02-04,20054393_12289318365022,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-05-11,340422508_97260612983968,NOLI,COMPLETED,true,Faltantes
2023-04-18,51570585_256759169706369,RK TRANSPORTES,COMPLETED,true,Faltantes
2023-04-29,52893035_54539488869919,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-04-27,51205336_145578785025764,GUILHERME TRANSPORTES,COMPLETED,true,Faltantes
2023-06-19,341951170_60949100251103,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-02-24,42395098_1554136066977,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-03-08,120578718_34602011572139,INDEPENDIENTES,COMPLETED,false,Faltantes
2023-02-28,24263928_286296472216564,NOLI,COMPLETED,false,Faltantes
2023-03-01,38401255_16401276899972,No Value,COMPLETED,true,Faltantes
2023-05-31,49959579_47157344822458,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-05-17,193378483_39838753437407,GUILHERME TRANSPORTES,COMPLETED,true,Faltantes
2023-06-13,89078486_25951817952196,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-03-14,24263928_114182312353541,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-06-03,250891748_91937671826661,INDEPENDIENTES,COMPLETED,true,Faltantes
2022-12-22,50548088_20977313019589,INDEPENDIENTES,CANCELLED,false,Cancelación
2022-12-27,27537462_301751147203381,INDEPENDIENTES,CANCELLED,true,Cancelación
2022-12-30,195262170_70720740047166,INDEPENDIENTES,CANCELLED,true,Cancelación
2022-12-29,161735099_37870467819979,INDEPENDIENTES,CANCELLED,false,Cancelación
2022-12-31,122331028_15799199083733,INDEPENDIENTES,CANCELLED,true,Cancelación
2022-12-21,136203688_11366368605873,MONTERREY,CANCELLED,true,Cancelación
2022-12-23,23441476_25806023476808,INDEPENDIENTES,CANCELLED,true,Cancelación
2022-12-30,273895787_381655189598198,INDEPENDIENTES,CANCELLED,true,Cancelación
2022-12-21,47577001_30496735230059,INDEPENDIENTES,CANCELLED,false,Cancelación
2022-12-24,64674469_28294640950718,INDEPENDIENTES,CANCELLED,true,Cancelación
2022-12-27,97384011_209316815044622,INDEPENDIENTES,CANCELLED,true,Cancelación
